"Drum Machine","Duration","Equal Loudness","RMS","Temporal Centroid","Spectral Centroid","Spectral Centroid 1","Spectral Centroid 2","Spectral Kurtosis","Pitch Salience"
"Ace Tone Rhythm-Ace","0.1374331065759637","8.020317697525027","3.10072290601092","0.07221763171255588","4152.077563476562","3947.2354248046877","4736.626318359375","1.9278047263622278","0.39388802647590626"
"Akai MPC-60","0.49185185185185193","37.966556072235115","5.624455969607223","0.246105228861173","2522.926717122397","2434.128153483073","2342.550740559895","2.080619394779205","0.3440143677095571"
"Akai MPC2000","0.3424943310657596","10.930487632751449","1.0708170807717432","0.16862057894468319","2797.953247070312","2707.9251708984366","2799.0946350097656","1.917749126752218","0.3550074820717175"
"Akai XE-8","0.3835827664399092","11.502192616462708","1.0599618210870734","0.19116381928324702","1904.6327667236326","1527.3691406250014","2412.721267700196","2.007164746522904","0.5286327227950096"
"Akai XR-10","0.3632108843537416","16.07381455898284","2.7307925039560654","0.1800457077100873","2811.8864135742183","2723.258386230467","2790.6353393554696","1.7804971877485503","0.40421864837408067"
"Alesis D4 fx","0.6848358992719895","15.575279888353831","0.48458456634998903","0.32421172920026287","2824.1214856599504","2887.870849609375","2251.397570158306","1.6591147576507768","0.23326439018312253"
"Alesis DM5","0.4730595448055765","11.84742064166952","0.09011895630728109","0.22725726084576714","1669.0256483289934","1482.0996916029185","1998.9205898708765","2.5337106618616314","0.5155911987854375"
"Alesis HR 16B","0.3755102040816325","12.002166271209704","0.8076576592659614","0.1900223046541215","3230.8206787109402","3112.3916015625","3371.73876953125","1.2811544239521004","0.3129669427871705"
"Alesis HR-16","0.39816002591512806","16.962295100802464","1.6528244336355151","0.19551469350144973","2639.1006150018607","2530.4116617838545","2969.966052827382","1.0019916927530645","0.448583396417754"
"Alesis SR-16","0.3660106671776691","14.565325051965848","2.649264347312732","0.17958000239352107","2765.034035266285","2564.460361534441","2783.956610021457","1.8002489234360173","0.40892311552880517"
"Alesis_HR16A","0.41541950113378673","22.57954704761505","3.3532913166979266","0.2033607692768177","3066.048624674478","2926.8924153645844","3364.512491861981","1.71097205579281","0.3812658078968525"
"BME_Rattlesnake_Parametric-Percussion-System","0.4818140589569165","29.6842460632324","6.18362724843091","0.233373001217842","3047.4481201171848","3016.67626953125","3025.26123046875","4.66868591308594","0.19551577791571614"
"Boss DR-110 Dr. Rhythm","0.2682993197278918","9.054389357566837","0.52264528120166","0.1365209054201839","2930.193908691405","2312.7522888183576","3910.8732910156277","1.962615728378295","0.5316639244556427"
"Boss DR-202 Dr. Groove","0.23266271047426057","17.536324582201367","5.3657338473956155","0.11829630816553502","2439.4736678752497","2214.405707176695","2961.4253786776926","4.795590295753578","0.4829443881803371"
"Boss DR-220","0.240907029478458","7.12748575210571","-0.254652491649288","0.12811079621315","3123.06225585938","3386.94384765625","3022.5869140625","7.0044584274292","0.103475324809551"
"Boss DR-220A","0.242358276643991","10.0607576370239","1.95350791248401","0.128162056207657","2216.22509765625","1766.18200683594","3188.115234375","1.00999796390533","0.710189759731293"
"Boss DR-220E","0.265578231292517","38.7873229980469","10.3033120052533","0.136322543025017","1891.58068847656","2828.4296875","919.031372070312","1.75593996047974","0.721067368984222"
"Boss DR-55","0.21181297915991787","8.533246040344238","2.4301585163054242","0.10554882272013592","2493.446451822916","2044.5602911086323","4251.656552269345","2.103127445493424","0.6402225191039699"
"Boss DR-550","0.36111866969009815","19.715910593668635","4.586419328171693","0.18438082809249565","2944.085083007811","2712.2052205403634","3157.935750325522","2.2448493341604876","0.3784573227167128"
"Boss DR-550MK2","0.34176870748299326","12.852310657501215","1.6214978584623907","0.1700836166739465","3035.2262207031263","2855.28369140625","3172.11494140625","1.9297003269195578","0.2278675764799118"
"Boss DR-660","0.4590198034769463","12.333125324249268","0.2934759134377291","0.22277009403333067","3009.6730143229165","2843.0570035807286","3055.5651725260423","2.7070390609900157","0.30847606152296064"
"Boss_DR-Pad_DRP-I","0.40344671201814","38.062931060791","8.40716634606696","0.21442274004221","3137.961669921875","2727.4776611328098","3352.74194335937","1.433934509754185","0.3429261744022365"
"Boss_SP-505","0.2507936507936509","22.283261299133297","6.150707337046133","0.12745031528174863","2368.760711669921","1836.9611358642576","3202.5717926025377","1.6768737807869913","0.5636422075331209"
"Casio CT-310 Casiotone","0.0834467120181406","3.48536849021912","-0.20878183264389","0.0429373309016228","849.108093261719","664.164184570312","3381.44506835938","1.7207156419754","0.953293025493622"
"Casio CZ-230S","0.163265306122449","27.2464237213135","10.1270396494435","0.0904602706432343","756.663940429688","891.481506347656","715.889038085938","3.96935820579529","0.903883039951324"
"Casio MA-101","0.168344671201814","15.4608235359192","6.442305772809609","0.08987317979335804","1279.3720092773451","1279.053344726565","1301.3771362304701","2.15186506509781","0.7026861906051635"
"Casio MT-100","0.102312925170068","3.8047616481781","-0.543185486817187","0.0522904247045517","1819.06970214844","1475.70520019531","3933.25219726562","2.37470626831055","0.744299113750458"
"Casio MT-18","0.161814058956916","2.86438369750977","-4.40604143915859","0.0798250883817673","768.1962890625","688.016296386719","3125.80224609375","2.31712675094604","0.859723687171936"
"Casio MT-500","0.0986848072562358","10.4446315765381","6.09830567308771","0.0552709996700287","1420.0625","1434.68603515625","1773.98681640625","0.413791209459305","0.920288622379303"
"Casio MT-800","0.145124716553288","7.92299604415894","2.66909445612751","0.0731724724173546","1349.55554199219","950.362365722656","3577.07275390625","2.28660750389099","0.84302031993866"
"Casio PT-1","0.198095238095238","7.47007131576538","0.939360025949412","0.101533643901348","3793.83959960938","3744.68041992188","3862.59326171875","0.771915435791016","0.231939777731895"
"Casio PT-30","0.16660317460317442","6.59465255737305","0.9186937581266109","0.08468803018331539","1850.3801025390621","1721.1579345703117","3188.0982910156263","4.250316333770752","0.690685522556305"
"Casio PT-68","0.140770975056689","7.7662935256958","2.68363141856531","0.0711197331547737","1900.00524902344","1586.50402832031","4320.19775390625","1.79321718215942","0.760453999042511"
"Casio PT-82","0.12517006802721095","3.1721634864807102","-2.3632937311603883","0.0628872253000736","2517.310607910155","2470.1968994140598","2732.96606445312","1.357572257518765","0.5816550552845"
