"Window (ms)","Bark 1","Bark 2","Bark 3","Bark 4","Bark 5","Bark 6","Bark 7","Bark 8","Bark 9","Bark 10","Bark 11","Bark 12","Bark 13","Bark 14","Bark 15","Bark 16","Bark 17","Bark 18","Bark 19","Bark 20","Bark 21","Bark 22","Bark 23","Bark 24","Bark 25","Bark 26","Bark 27","Bark Kurtosis","Bark Skewness","Bark Spread","HFC","MFCC 1","MFCC 2","MFCC 3","MFCC 4","MFCC 5","MFCC 6","MFCC 7","MFCC 8","MFCC 9","MFCC 10","MFCC 11","MFCC 12","MFCC 13","Temporal Centroid","RMS","LAT","Zero Crossing Rate","Pitch Salience","Spectral Complexity","Spectral Crest","Spectral Decrease","Spectral Energy","Spectral Energy Band Low","Spectral Energy Band MidLow","Spectral Energy Band MidHigh","Spectral Energy Band High","Spectral Flatness dB","Spectral Flux","Spectral RMS","Spectral Rolloff","Spectral Strongpeak","Inharmonicity","Tristimulus 1","Tristimulus 2","Tristimulus 3","Spectral Centroid","Spectral Kurtosis","Spectral Skewness","Spectral Spread"
"0","0.0016501801643169346","0.010550510341693879","0.0007016459462595977","0.0006690570535072675","0.0005496703369936253","0.0000901929723336534","0.000017409673586573765","0.000009355401807958667","0.000014760957243336928","0.000006204587593823206","0.00000345439551615283","0.000004008840759359474","0.0000035012888675654853","0.000004284402102886444","0.000004505358776966389","0.0000038013720381994095","0.000005711254587233874","0.0000041700506092023485","0.000007025427333230634","0.0000116515466126477","0.00001613643644967784","0.000016030723120650856","0.000020689386524651666","0.000025141191514464042","0.000009899112124117404","0.0000033793768803571715","0.0000017046653953652742","1240530.8823501475","61.86564504699779","375.04685565948455","46806.786174299654","18562.03076452564","3075.6194037311548","1529.4661211158777","686.4668154356777","630.4746608300006","361.3590746413801","375.2143573418165","241.3099534606678","218.9346423532592","158.4882314298907","141.34880196530574","108.9600391581086","97.80273877517818","0.019271101580821216","26.39689119963676","0.07776503611736377","0.006225808503720769","0.05233887065473578","95.64433780103755","37.09659503935455","0.0000000000000014791703634485947","0.02220411697508247","0.016785950691938657","0.002386069355954327","0.00033339898709486114","0.0005291539114217613","0.04209069688198539","0.012066834756777719","0.000018435539332920188","9251881.016001344","0.5633638408467084","0.004701973041144174","0.0628790384614924","0.017213999509317575","0.03349076190905313","1386688.9598020418","1517.2558780206725","5.334197518566193","4804643249318.27"
"25","0.0014103816468923288","0.011030516332974404","0.0022574926509206492","0.0022050485249251513","0.0037218824527204346","0.0005620316980300319","0.00008589536330608649","0.00005869815611651702","0.00006561554992488388","0.000019810639192426434","0.000010757762709554631","0.00002104030428109987","0.000016440976674951047","0.00001209730882537536","0.000012773776511977426","0.00000969240869874365","0.000009853161114695943","0.000008660872761487792","0.000012811549873180238","0.00001623994959087744","0.000019482934731391936","0.00001971730546394189","0.000014955093608921275","0.00001647448051737556","0.000010213066293067814","0.000005963350839980123","0.0000046062165613166754","662.9729359836905","4.720585679399545","374.3856735373822","44315.351666063834","2976.2483860873385","2149.636891841783","594.0218651474054","277.6621432782879","189.3477825172983","110.23742647274469","103.95073196363361","73.20297355797287","58.71376806446541","40.411675343871124","33.22179167914088","23.926517904652965","23.1782381106458","0.019271101580821216","18.87010445268194","0.07776503611736377","0.0009185990758070043","0.011125932565437697","74.65380579179916","9.60424390144134","0.0000000000000020430320577375974","0.029235843743878255","0.023199194963270577","0.011393151200493598","0.000691460114006477","0.0004691041265419478","0.003713657737240124","0.03305179893537057","0.00001971768278268055","10249667.871118017","0.5027862491426337","0.009200856941058053","0.054590187225216615","0.022842987703232176","0.03474141775468962","1169963.06217231","19.489053931392753","0.24090702416120457","25805799306995.246"
"100","0.0046168905404573085","0.031706678094702345","0.003267366034746471","0.0024292943967112925","0.002188194629155679","0.00031329934780486006","0.00006464868304810176","0.00005144676739862758","0.00012448955137754606","0.000026194928178163642","0.000014468729700999014","0.000019352416565387308","0.00001507717051611966","0.000014593887733896088","0.000015645106021224698","0.000011521614151807701","0.000015847323695917038","0.00001420895695296524","0.00002041518836415128","0.000045564892733093185","0.000050488429646957255","0.000051708818397987576","0.000050876786123901434","0.00005655351890977546","0.00002098009965897875","0.0000081336056913996","0.0000045109649216700655","180540.0769991574","17.999932991001497","433.66879152164705","118033.23184818985","15343.12696020448","4643.265275880157","1355.7027335390796","585.0793954841808","483.82480042148404","274.5108972954324","274.77502539428974","175.60005055677533","157.36582677796295","118.23886777344666","104.40982068468278","80.18883798917884","69.94322348054872","0.019271101580821216","22.541843118776942","0.07776503611736377","0.004614613124949074","0.036982627388229945","201.68774705223302","28.132747328745808","0.000000000000004345730043554084","0.06445203341535403","0.05066026912135828","0.009117625385005415","0.001145070482430664","0.0013930866058772338","0.025063250509070024","0.027925478432805993","0.00003981273657977401","10679460.8951571","1.4358810664743005","0.004860317131673064","0.054057689061825176","0.017772476435686125","0.025607825466950927","1453117.4399015927","1730.6784125605875","5.029609121106632","6106676262860.312"
"250","0.004478651032470806","0.02348406513875849","0.0015961113305475241","0.0009767191549309026","0.0008067975892394823","0.00012719771391295383","0.0000307439873481322","0.000027709984564704076","0.00006269250161309518","0.000015247504238310585","0.000007658136366618505","0.000009804089702724765","0.00000837343291009258","0.000010138079211221914","0.000010330964431051074","0.000008673981682616554","0.000011190932220229043","0.000009460719802410209","0.000014865559765189478","0.00003508508195851992","0.000042420860085823184","0.00003626741497490537","0.00003313331039095706","0.000033922516901574405","0.000013559409107014248","0.000004313985216562351","0.0000020244569440871393","644917.8918790601","43.427216335880196","415.8147657264981","77442.2423075471","20247.88527713833","4224.771849334456","1750.1420195970495","741.9754481536123","677.4298291344319","372.32304509564904","390.3348500195624","241.62077349835178","220.12602762108918","155.6824345410256","139.3327876849163","105.44187550960488","95.1414779083653","0.019271101580821216","23.289457980885892","0.07776503611736377","0.006016150455039824","0.0506870425990166","152.4905430217596","37.79517577510342","0.0000000000000031961699252204665","0.04777284776490292","0.03656315452066281","0.0039013157010310494","0.0007767392135145698","0.0009430416344040831","0.04141294042646683","0.013646465303997197","0.00003512906442032445","9682876.586542118","1.2100325466817743","0.0050203033613095","0.06337623355118746","0.01888910791926708","0.03183461367048527","1496367.1274406787","2370.116343099164","7.512130745083148","5486226653272.508"
"500","0.003553750489688629","0.014233725608155896","0.000831962667273903","0.0006785231364565748","0.0005457563193574704","0.0000827550244082467","0.000017011246398499132","0.000011332603187630299","0.00002171534805420931","0.000007550831984346371","0.000003970907828140313","0.000004129869395520303","0.000004555421780051738","0.000006153588942037808","0.000006345243267449203","0.000005218806164065441","0.000006995773894669727","0.0000054671371100743075","0.000008737123194083174","0.00001800470554396404","0.000022128640272339032","0.00002012748961303514","0.000022608789348111913","0.00002651558709514766","0.000009878769578671688","0.000003564685062207352","0.0000016888981100178705","1117832.2423233977","57.62025437072212","383.6730455644283","52402.550978115716","17200.75201337429","3321.140391445172","1611.7714854132887","695.8148542560817","653.2887348264424","361.23982427229555","380.6052206104284","238.4648599335046","218.08250388326545","156.06323203810848","140.6671201533904","107.3524747899041","96.96021804358591","0.019271101580821216","24.6362865824002","0.07776503611736377","0.005967623125838421","0.05205069462604521","99.63500032020147","37.509550636668294","0.0000000000000019972074974804252","0.029795203804773737","0.02233247546226527","0.0024102087400290043","0.00044177526413349913","0.0006069706156152032","0.04213407411404805","0.012074889257938306","0.000023781633949214858","9291519.978198728","0.726424647305581","0.004912926171508245","0.06271625476384289","0.018252497956496066","0.03251066099178203","1438712.8539271695","1750.8588155342434","6.039758147515483","6353432622822.175"
