"Index","Drum Machine","Type","Equal Loudness","RMS","Temporal Centroid","Spectral Centroid","Spectral Centroid 1","Spectral Centroid 2","Spectral Kurtosis","Pitch Salience"
"1","Ace Tone Rhythm-Ace","ki","0.0133136418317796","0.3318124483762","0.114975324474693","0.0182790969881143","0.0225220995112999","0.0103821350185933","0.0484146169122755","0.956263823659373"
"2","Ace Tone Rhythm-Ace","ki","0.0134687955297574","0.342325977480925","0.107884991236984","0.0209610630939189","0.0260049836326557","0.0121025387168291","0.0401539020236702","0.957032423453517"
"3","Ace Tone Rhythm-Ace","ki","0.0135605879210459","0.353015095754671","0.0994740507466182","0.0219922581234087","0.0268321137149699","0.00984852696101816","0.043265024946277","0.963206891765663"
"4","Ace Tone Rhythm-Ace","ki","0.013441022284685","0.329229542125439","0.119065684272535","0.0440795688489583","0.0552361087883332","0.0201924916278044","0.031762724032119","0.952033589297488"
"5","Ace Tone Rhythm-Ace","ki","0.0133274538199117","0.33408567710175","0.112876316626034","0.0277572231982097","0.0336743946036511","0.0228630852496199","0.0254180938901869","0.947623852594601"
"6","Ace Tone Rhythm-Ace","ki","0.0136223336901028","0.360452160752366","0.0944988925552279","0.0172248161937105","0.0213753866419922","0.0044669824076233","0.127287822872689","0.968605702606373"
"7","Ace Tone Rhythm-Ace","ki","0.0138267844027232","0.37031209233631","0.0889192281458698","0.0207193415554055","0.0254986647708202","0.00880451896206739","0.0510813880057824","0.97053244850671"
"8","Ace Tone Rhythm-Ace","ki","0.011127391423007","0.340160340592286","0.0859810427959706","0.0175519648357918","0.0217288407162275","0.00321327230944124","0.138357317481149","0.973771610096495"
"9","Ace Tone Rhythm-Ace","ki","0.0135493584153926","0.343285734593088","0.107341808669487","0.017905936276702","0.0220407918956595","0.00384462420676943","0.111211391928541","0.961010829896502"
"10","Ace Tone Rhythm-Ace","ki","0.0199473154321292","0.492963826731009","0.0569053372308504","0.0125637601352144","0.0145780925195218","0.0105380035202706","0.196777683380872","0.991481820711481"
"11","Ace Tone Rhythm-Ace","sn","0.0333114495848597","0.621161875797215","0.0414591583729112","0.728497166329735","0.78168123503196","0.64320566729092","0.00390111318906678","0.322437747343678"
"12","Ace Tone Rhythm-Ace","sn","0.0365313072329005","0.638087546933155","0.0412592788990023","0.708716986663355","0.749895617907391","0.647414680657104","0.00368396111820264","0.35766945377778"
"13","Ace Tone Rhythm-Ace","sn","0.0397033143206796","0.624211943291613","0.0527955121270252","0.732941813917709","0.792799301371437","0.620494996064","0.00335325575359876","0.297996417541745"
"14","Ace Tone Rhythm-Ace","sn","0.0471598777996569","0.676147950456837","0.0447053347172186","0.735746919534717","0.786918889575453","0.651261746832426","0.00403663210337735","0.350153277292565"
"15","Ace Tone Rhythm-Ace","sn","0.0396276231462372","0.647379448169396","0.0430334318963478","0.698832987192389","0.720795191833037","0.63313759934085","0.0032686707780829","0.32878006970643"
"16","Ace Tone Rhythm-Ace","sn","0.0326410080721809","0.626589924180452","0.0373512880302576","0.607045837692848","0.592374063091442","0.625153000237722","0.00296428219033947","0.473676058202292"
"17","Ace Tone Rhythm-Ace","sn","0.033047449864493","0.610846395052573","0.0431846775002043","0.569174977761723","0.532143895566336","0.63201546664011","0.00332372827422283","0.535317530600535"
"18","Ace Tone Rhythm-Ace","ki","0.0138547439035652","0.244585228433026","0.233745590321055","0.022733932044317","0.0314388300680923","0.0455705048224454","0.0428514364069076","0.876707998891944"
"19","Ace Tone Rhythm-Ace","ki","0.011487359098404","0.218590226901406","0.228865542283755","0.00572445953651757","0.00835276326906253","0.0927328745529524","0.0285425241104973","0.939935356360317"
"20","Ace Tone Rhythm-Ace","ki","0.0148142173836558","0.254891066698016","0.235041341242182","0.016309584953041","0.0224693761674605","0.0494190386536857","0.0438026458938084","0.855478443144468"
"21","Ace Tone Rhythm-Ace","sn","0.057984714392876","0.720885497275867","0.0421316461872947","0.668826718993131","0.728267199500778","0.599234454963634","0.00417650818499408","0.410044070978811"
"22","Ace Tone Rhythm-Ace","sn","0.0605788213452314","0.725359605454084","0.043427438261289","0.659544801209259","0.69920059081012","0.610203396800853","0.00353213049083149","0.306615902605177"
"23","Ace Tone Rhythm-Ace","sn","0.0373080730497829","0.506946243228373","0.119498753526514","0.762550521377508","0.798437680563587","0.968015464961559","0","0.266104741271093"
"34","Akai MPC-60","ki","0.0977411008750592","0.66159670218861","0.142079460861584","0.390967563565394","0.481850773321717","0.0593760295834241","0.00584928419556506","0.38451951262741"
"35","Akai MPC-60","ki","0.0194416349806345","0.417507538082619","0.0964703147589328","0.453814587463534","0.513904886855076","0.275466959841338","0.00213333080797778","0.75686788900953"
"36","Akai MPC-60","sn","0.373486147057807","0.855783157884489","0.229917127367346","0.463839076776599","0.449097343529043","0.365239418002445","0.00434105265879965","0.139689405675337"
"37","Akai MPC-60","sn","0.0476363544032532","0.50692626695057","0.165581863074752","0.333191671542311","0.2939699686937","0.371338014691241","0.00190392514328644","0.607241445466647"
"38","Akai MPC-60","sn","0.105107455797271","0.636040192082555","0.189322622692261","0.455533468747788","0.534290187315596","0.273110309010731","0.00318127278344114","0.312978023938735"
"39","Akai MPC-60","ki","0.124343349319407","0.766908361490632","0.0910473310713358","0.382784421198587","0.499188968637801","0.132290023475205","0.00457387544977896","0.426157810007734"
"40","Akai MPC-60","sn","0.438008907739311","0.886674153812312","0.23316613444099","0.459283444682435","0.447095581376673","0.346112340737711","0.00433923077433251","0.129218888599139"
"41","Akai MPC-60","sn","0.0738465357736182","0.605374387476324","0.145676162627598","0.342392398213571","0.282177574644875","0.31547092175912","0.00168756147188689","0.617770750496383"
"42","Akai MPC-60","sn","0.208157177501653","0.797405067904996","0.164894104607307","0.421279131746645","0.614907834139361","0.280953290077708","0.00494188135782679","0.0688149845981024"
"43","Akai XE-8","ki","0.00843436680545461","0.270539162307567","0.109594152099736","0.269631087637731","0.34353876343281","0.0388762292058799","0.00737744853639929","0.688467878660353"
"44","Akai XE-8","ki","0.0113902511523869","0.277606573530807","0.147835241903781","0.183811917001733","0.22520095717835","0.0935460247951698","0.00547654133325708","0.772132208470733"
"45","Akai XE-8","ki","0.0127857718454109","0.261631586471272","0.190307669469265","0.211788407385673","0.239785259953986","0.148718473168496","0.00430999346311856","0.634796491328824"
"46","Akai XE-8","ki","0.0163961285844663","0.299923961316806","0.194699185946141","0.218005576711669","0.27715902951224","0.154057917301727","0.00571504453486503","0.704391622518319"
"47","Akai XE-8","ki","0.0299164428233517","0.397574196581494","0.205752046419538","0.181901497940663","0.236120998905255","0.0869539169679959","0.00488588491358078","0.803014605660167"
"48","Akai XE-8","sn","0.0681632144045019","0.680624169792336","0.0756911858674211","0.319960853425226","0.229290999514395","0.394264814392003","0.00319484224343418","0.760544064475442"
"49","Akai XE-8","sn","0.0537482489771878","0.518361209088562","0.182119812790686","0.311792093366508","0.285444424694625","0.198694214478583","0.00344824839440856","0.270712655054008"
"50","Akai XE-8","sn","0.0458978668274164","0.527317788326876","0.137767486997197","0.292673314692255","0.241914302567939","0.448373509199114","0.00351931555002802","0.479664122639447"
"51","Akai XE-8","sn","0.0585736366427761","0.5246889868614","0.195806456737455","0.309066532818268","0.320420519052753","0.308283797816528","0.00318106171479224","0.463669677093932"
"52","Akai XE-8","ki","0.0135545788607922","0.320464290170993","0.130619175249188","0.183506246659874","0.218470889291115","0.107960592330327","0.00578375482554546","0.785520622291021"
"53","Akai XE-8","ki","0.0151197217584898","0.402143042405321","0.0803904376030322","0.211796617029344","0.24081056217437","0.143752545314422","0.00501153783715594","0.732780348703284"
"54","Akai XE-8","ki","0.019278377175236","0.357332669673981","0.15524379262329","0.218002552106107","0.279544675710114","0.108888245558009","0.00579569325084644","0.721461583134137"
"55","Akai XE-8","ki","0.0101169142442009","0.358286670071471","0.068087188425652","0.269572653081264","0.342092060297631","0.048258992225725","0.00996131732917895","0.688551946214628"
"56","Akai XE-8","sn","0.0532456912820002","0.576317530242802","0.116280846262188","0.29266218332076","0.244947767277742","0.430013779260822","0.00335971076567676","0.579306409262558"
