"Sample Id","Drum Machine","Dimension 1","Dimension 2","Dimension 3","Dimension 4"
"1","Ace Tone Rhythm-Ace","-4.46958577149852","-1.20134054489952","0.812921117052405","-3.41020482909068"
"2","Ace Tone Rhythm-Ace","-4.38811014388943","-1.27192256130462","0.850192242933678","-3.38643945832708"
"3","Ace Tone Rhythm-Ace","-4.51339288323724","-1.22038328654616","0.783303928497315","-3.57285858612028"
"4","Ace Tone Rhythm-Ace","-4.36990775110245","-1.37173691338734","0.82028214605978","-3.50784881898647"
"5","Ace Tone Rhythm-Ace","-3.89090314794514","-1.30609298544449","0.58659825189163","-2.6793078739848"
"6","Ace Tone Rhythm-Ace","-4.69150591773578","-0.892124683172437","0.617224977101012","-3.54724045156885"
"7","Ace Tone Rhythm-Ace","-4.52853277191037","-1.10259818692147","0.544161146261405","-3.71349803273888"
"8","Ace Tone Rhythm-Ace","-4.66583264826783","-1.66614275354644","1.41500063638986","-3.2712936852245"
"9","Ace Tone Rhythm-Ace","-4.68140088348497","-1.02730075791994","0.763026647205781","-3.50603736086771"
"10","Ace Tone Rhythm-Ace","-3.24333643769446","-1.46528678310556","0.270547551292803","-1.29128251229828"
"18","Ace Tone Rhythm-Ace","-6.13658551828456","0.581122239855372","1.06215119309448","-4.99076739117453"
"19","Ace Tone Rhythm-Ace","-4.10493224535246","-0.669132152848999","0.70563531923434","-2.20515670555046"
"20","Ace Tone Rhythm-Ace","-5.26497662728601","0.0460850317148448","1.13894848071919","-3.86692575091143"
"24","Ace Tone Rhythm-King","-3.93709985597298","-4.62895308722109","4.47209053759156","-1.82336821326579"
"27","Ace Tone Rhythm-Master","-1.64891771547575","-4.85646807536266","3.2977954662054","1.61494003606315"
"30","AJK Percusyn","-4.30842779597275","2.5950322721564","-4.49580074808151","-3.41481617444065"
"31","AJK Percusyn","-4.32897093798821","2.64054312071563","-4.17688946767052","-3.58227227301359"
"34","Akai MPC-60","8.70059378853617","3.14581511706513","0.412865050102975","-1.36571660326575"
"35","Akai MPC-60","1.36904411132769","-3.35039244759562","1.19193812905737","0.243746362510298"
"39","Akai MPC-60","9.29484522077171","3.72267089584487","0.0163144843796336","-1.91891722619282"
"43","Akai XE-8","-0.279016399354926","-2.86517462724928","0.972330022353598","-0.266946767992026"
"44","Akai XE-8","0.600978983232849","-4.16760074745011","0.610028546786084","2.11988080144032"
"45","Akai XE-8","1.69402896631367","-4.13076752808982","-0.357247350817614","2.97171041812238"
"46","Akai XE-8","3.32602363337761","-4.29801311447054","-0.261469248643316","4.88913631203855"
"47","Akai XE-8","2.81286329706228","-1.90256881625064","-1.54772733242645","1.98702739718892"
"52","Akai XE-8","0.650646082914347","-3.76303800228828","0.159495993503914","1.9805846346467"
"53","Akai XE-8","1.86591460079243","-3.42527934749363","-1.20295255002924","2.58222798786526"
"54","Akai XE-8","3.15041908042217","-3.95634871389719","-0.683883004542255","4.65062220835695"
"55","Akai XE-8","-0.460357397657599","-2.22577243785192","0.372583758967582","-1.0553888210199"
"60","Akai XR-10","7.57416610770252","-1.19799136705515","-0.350730954117889","1.61492021009867"
"61","Akai XR-10","8.17105582263566","0.612790757170365","0.614063831939058","-4.40718361351187"
"62","Akai XR-10","2.32032118282368","-0.880187466018437","-0.833556269712914","-2.33899543102576"
"63","Akai XR-10","16.2182799530851","2.08132814131548","-0.411277058170559","-5.93671932763796"
"64","Akai XR-10","-1.23402788524146","-2.64051369648253","0.554146040922533","0.944595435860839"
"65","Akai XR-10","20.2484511675648","4.20555530559656","-0.0481762290614049","-12.0091188388593"
"66","Akai XR-10","0.354770080137714","-1.68075948103322","-0.65839876519579","-1.07771257520889"
"67","Akai XR-10","5.89337027272518","0.776745078786182","-0.499005950502713","-1.93534663941126"
"68","Akai XR-10","19.4316450941867","2.50295431989551","-1.14572904490774","-7.02350908012402"
"69","Akai XR-10","2.4275448614384","-0.88180042632887","-2.37818115582071","3.76122334695178"
"80","Akai XR-10","6.28594409623395","-3.65939986086335","0.0936645139933237","3.30311587695519"
"81","Akai XR-10","2.20804884233582","-2.31813764924902","-0.971927814233071","4.78192268607291"
"82","Akai XR-10","5.90320677149696","-1.47194451356757","1.52960259843949","-2.28302443823581"
"83","Akai XR-10","2.14644566058046","-2.43048673092977","0.697262227377185","-1.02007184164911"
"84","Akai XR-10","13.7624873017061","0.445577781258165","-0.297068773324601","-3.24260549577424"
"85","Akai XR-10","0.700129973059724","-4.69048671993869","2.07150013334648","2.54714089632679"
"86","Akai XR-10","14.8451374625925","0.871352142896072","0.451486456592705","-6.30444134686638"
"87","Akai XR-10","0.382615124784758","-3.61931050813913","1.83923081134393","0.8349820464007"
"88","Akai XR-10","4.74504215491876","-2.28565053114856","0.799782854535773","0.0831314104987531"
"89","Akai XR-10","14.5002236439667","-0.331415518639237","-0.468912325847942","-2.75366729586872"
"100","Alesis D4 fx","3.50041457766478","-1.94677839009838","0.986038923205083","2.59393678956277"
"101","Alesis D4 fx","-3.24808702344859","-0.830375345583537","0.0332888425790205","-1.38675639930022"
"121","Alesis DM5","-0.995759328597813","3.42050355050044","-1.60358878889738","5.00757820584687"
"122","Alesis DM5","-1.29116612384434","-0.120086644674036","-1.03244026502911","2.99342517407"
"123","Alesis DM5","-1.63391755079233","-1.80030075930441","0.670051326394817","1.78951701460617"
"124","Alesis DM5","-3.03599782932776","0.38929266201093","-1.24821994369371","-2.15505265991221"
"125","Alesis DM5","-3.15586746059267","0.487995176061268","-1.32633661686633","0.190250798607659"
"126","Alesis DM5","0.685294000455305","-2.74548044445239","0.618537557391333","1.21864892074181"
"127","Alesis DM5","-1.21417408506958","0.104613583643254","0.76433363508035","3.2617849068802"
"128","Alesis DM5","0.239239369835077","-4.62297438674501","1.11151942342615","1.82120329129255"
"129","Alesis DM5","1.24744957790425","-4.55128849643832","0.58689096647896","3.60077368955557"
"130","Alesis DM5","2.33641123776659","-2.92743248620252","1.16122098194276","2.27588544854683"
"131","Alesis DM5","0.349005344455084","-4.58919212913086","0.89811705411634","1.60176304425895"
"132","Alesis DM5","-1.26622119684112","-3.01138941358101","0.0140511161936651","-0.42919884564726"
"133","Alesis DM5","-4.62795165972544","0.00949760558627599","-0.483253819606306","-4.3630746975022"
"134","Alesis DM5","-1.77117062257162","-3.96256877928151","1.64693251614265","0.177110986623511"
