Sample Id,Drum Machine,Dimension 1,Dimension 2,Dimension 3,Dimension 4
218,Alesis DM5,1.674271876,-0.613464143,1.394736328,3.811721913
219,Alesis DM5,-2.474768256,-3.998404929,0.676718973,-0.228564556
220,Alesis DM5,-3.19333533,-2.22485227,-1.567024379,-0.79129506
221,Alesis DM5,0.180704138,-3.965226417,-2.627255215,-1.753454374
222,Alesis DM5,-0.28764348,-4.297720625,-2.649088131,-1.794064989
223,Alesis DM5,3.965600357,-1.947809129,-1.84803147,0.348900416
224,Alesis DM5,-2.505543433,-2.793327142,0.066829406,1.830552702
225,Alesis DM5,-1.212624501,-1.646379504,-0.771059351,-0.156994126
226,Alesis DM5,0.393424555,1.845936965,-2.45521369,2.530215995
227,Alesis DM5,-1.535845472,-2.075328354,-1.998670451,-2.2704002
228,Alesis DM5,-1.045675186,-3.062641678,-1.550609984,1.549984947
229,Alesis DM5,-1.310080467,-0.480286342,-3.684640156,-0.552562826
230,Alesis DM5,-2.620297321,1.753890788,-2.852034316,1.680232905
231,Alesis DM5,-1.889304254,1.602859499,-2.531458608,-0.898889086
232,Alesis DM5,-1.379280715,-0.385083638,-2.661406958,-1.8564869
233,Alesis DM5,2.384917489,4.737249106,-1.164986421,2.732997866
234,Alesis DM5,-2.720016468,-0.932860715,-0.794782644,-1.290016529
235,Alesis DM5,-2.544772384,-1.679617585,-0.865815144,0.958503841
236,Alesis DM5,-1.865698429,-0.416595833,-2.125479705,1.643294759
237,Alesis DM5,-1.735089052,-3.372183282,0.476675022,1.193761357
238,Alesis DM5,-2.961721271,-0.838740388,-1.012239351,1.48841771
239,Alesis DM5,-2.192771527,-0.285413766,-0.451293497,0.582113696
240,Alesis DM5,-0.159997446,-4.77114791,-0.745233811,-0.528827441
241,Alesis DM5,-0.676862737,-2.696208216,-2.765965776,-2.510461416
242,Alesis DM5,-0.546083717,-4.860871702,-1.564850215,-1.671317337
243,Alesis DM5,-3.016679192,-0.309983204,-1.075053944,1.90514514
244,Alesis DM5,-0.559961513,-2.569509953,-3.436960185,-2.231200644
245,Alesis DM5,-2.697886931,-2.047408934,-1.613431058,-0.998420501
246,Alesis DM5,-2.032522367,-2.860403797,-1.384432197,-1.345028963
247,Alesis DM5,-2.617609654,-0.713793875,0.204284557,0.61629707
248,Alesis DM5,1.526905454,-0.141624328,-6.774195676,-0.319560941
249,Alesis DM5,-1.480689352,-1.955687956,-2.335645158,-2.107440471
250,Alesis DM5,-3.281264851,-0.754905456,-2.239713743,-0.869566612
251,Alesis DM5,-1.632792624,-2.946379034,-1.671067148,-1.247679004
252,Alesis DM5,-1.506521213,-1.830873115,-2.380546091,-1.840411228
253,Alesis DM5,0.317981709,-2.525224679,-2.059801904,-2.647113249
254,Alesis DM5,-1.966583789,0.015967479,-1.24871963,-0.217500958
255,Alesis DM5,-0.508570174,-4.764563411,-0.23219004,-1.400710356
256,Alesis DM5,-0.651579085,-1.987544724,-2.689766887,-1.156120882
257,Alesis DM5,-1.778446499,2.093874706,-3.631023796,0.104784597
258,Alesis DM5,-4.198159545,1.548736018,-2.415123039,1.275931681
259,Alesis DM5,-1.091653661,-2.555176054,-2.458367288,-2.591346962
260,Alesis DM5,-1.800571415,0.170530457,-1.397364558,1.510359672
261,Alesis DM5,-0.912515419,-2.189744564,-2.555071665,-0.099384628
262,Alesis DM5,0.413495566,-3.705429928,-3.86720457,-1.870360064
263,Alesis DM5,-2.278152711,-2.610883784,-1.554625474,-1.069947267
264,Alesis DM5,-2.242104605,0.173085518,-5.024394122,-1.025038667
265,Alesis DM5,0.30501851,-2.953879973,-3.449209212,-1.462403392
266,Alesis DM5,-0.077572049,0.904799826,-3.612127151,1.679158261
267,Alesis DM5,-1.419033485,-0.926284578,-1.68533344,-1.326353404
268,Alesis DM5,-3.922143047,1.243439466,-2.114325572,0.583959819
269,Alesis DM5,-1.564129679,-2.416485096,-2.100037193,-0.627649566
270,Alesis DM5,-0.423699154,-3.158370449,-1.307298226,-0.623589075
271,Alesis DM5,-2.493853943,-1.934864178,-2.76850751,-2.036197248
272,Alesis DM5,0.035438381,-0.697414192,-0.960147321,3.520053431
273,Alesis DM5,-1.625404591,-3.901060449,-1.021219069,-1.766492624
274,Alesis DM5,-2.299072277,-1.877471526,-2.21978047,-1.641404823
275,Alesis DM5,-1.876963299,-3.77383095,0.369777047,-0.676791007
276,Alesis DM5,-0.619291074,-1.796434612,-3.966204557,0.271096108
277,Alesis DM5,0.244457918,-0.218136544,-4.818708582,-1.783964399
278,Alesis DM5,-0.204781826,2.323056228,-2.578227989,1.9207845
279,Alesis DM5,-1.346495822,-1.615375339,-2.207825377,-0.614401192
280,Alesis DM5,-1.54723206,-0.624384861,-3.119742224,0.732554594
281,Alesis DM5,-1.525738443,-0.748662586,-4.26556134,-1.926945045
282,Alesis DM5,-0.628785675,-3.382006821,-0.977815301,-0.335040818
283,Alesis DM5,-3.18957553,-0.591060007,-2.457978549,-1.131871064
284,Alesis DM5,-2.289509229,-3.627526726,1.558374999,1.201437117
285,Alesis DM5,-1.244853608,-4.143472036,-0.692805576,-1.653017669
286,Alesis DM5,2.152689206,0.214614357,-3.468161122,-0.795339044
287,Alesis DM5,2.547111147,0.366940822,-2.634775026,0.174362146
