"Window Length","Window Start","HFC"
"100","50","158.508804321289"
"100","100","88.1099624633789"
"250","20","89.0183029174805"
"250","50","70.57861328125"
"250","100","39.8693466186523"
"500","20","45.6211128234863"
"500","50","36.1805801391602"
"500","100","20.9402542114258"
"0","0","723.093505859375"
"25","20","1400.35595703125"
"25","50","1703.57214355469"
"25","100","1425.30627441406"
"100","20","2091.38720703125"
"100","50","2111.169921875"
"100","100","1403.93969726562"
"250","20","1535.5966796875"
"250","50","1463.63977050781"
"250","100","860.396789550781"
"500","20","846.102722167969"
"500","50","799.201538085938"
"500","100","458.092803955078"
"0","0","53.5072708129883"
"25","20","227.591262817383"
"25","50","227.690490722656"
"25","100","212.104202270508"
"100","20","160.724884033203"
"100","50","150.57502746582"
"100","100","127.165733337402"
"250","20","75.9327011108398"
"250","50","70.7952728271484"
"250","100","59.7716598510742"
"500","20","50.5368118286133"
"500","50","47.8033447265625"
"500","100","40.970401763916"
"0","0","448.914947509766"
"25","20","726.052978515625"
"25","50","792.241394042969"
"25","100","564.634826660156"
"100","20","961.901184082031"
"100","50","905.331604003906"
"100","100","524.608276367188"
"250","20","643.704406738281"
"250","50","554.564331054688"
"250","100","253.230865478516"
"500","20","428.167663574219"
"500","50","391.070556640625"
"500","100","219.171844482422"
"0","0","51.4842185974121"
"25","20","145.385604858398"
"25","50","154.697143554688"
"25","100","91.3298950195312"
"100","20","87.333137512207"
"100","50","81.7546615600586"
"100","100","46.6147384643555"
"250","20","51.0920600891113"
"250","50","47.7226486206055"
"250","100","29.793851852417"
"500","20","51.0920600891113"
"500","50","47.7226486206055"
"500","100","29.793851852417"
"0","0","20.1289863586426"
"25","20","145.130249023438"
"25","50","128.575942993164"
"25","100","75.7003555297852"
"100","20","78.0738143920898"
"100","50","66.8825302124023"
"100","100","40.4721946716309"
"250","20","34.2129211425781"
"250","50","29.3213329315186"
"250","100","17.903923034668"
"500","20","18.3449954986572"
"500","50","15.9123449325562"
"500","100","9.95814228057861"
"0","0","18.9316883087158"
"25","20","101.25870513916"
"25","50","91.5206909179688"
"25","100","56.1396675109863"
"100","20","54.4485511779785"
"100","50","48.401050567627"
"100","100","28.6974964141846"
"250","20","24.2077980041504"
"250","50","21.5283851623535"
"250","100","12.8415079116821"
"500","20","17.5745983123779"
"500","50","15.6293745040894"
"500","100","9.79671955108643"
"0","0","17.3273620605469"
"25","20","105.369178771973"
"25","50","90.3264236450195"
"25","100","59.4217567443848"
"100","20","66.2936401367188"
"100","50","57.512523651123"
"100","100","34.3537063598633"
"250","20","30.0425148010254"
"250","50","26.025951385498"
"250","100","15.6486978530884"
"500","20","15.4085235595703"
"500","50","13.3499546051025"
"500","100","8.21555137634277"
"0","0","27.5566444396973"
"25","20","125.282356262207"
"25","50","111.899169921875"
"25","100","69.4917907714844"
"100","20","67.1801910400391"
"100","50","59.3365173339844"
"100","100","35.4840087890625"
"250","20","29.8658466339111"
"250","50","26.4004364013672"
"250","100","15.875880241394"
"500","20","25.3630447387695"
"500","50","22.8510875701904"
"500","100","14.2905397415161"
"0","0","20.9400177001953"
"25","20","129.962417602539"
"25","50","111.673439025879"
"25","100","73.3415298461914"
"100","20","81.8140640258789"
"100","50","71.0421905517578"
"100","100","42.4010314941406"
"250","20","37.0755577087402"
"250","50","32.1485443115234"
"250","100","19.3135299682617"
"500","20","19.0155620574951"
"500","50","16.4903430938721"
"500","100","10.1394653320312"
"0","0","24.7228946685791"
"25","20","179.150466918945"
"25","50","158.470733642578"
"25","100","93.6111526489258"
"100","20","96.3599395751953"
"100","50","82.4510955810547"
"100","100","50.0080833435059"
"250","20","42.2255058288574"
"250","50","36.1475563049316"
"250","100","22.1216602325439"
"500","20","22.6412887573242"
"500","50","19.6168022155762"
"500","100","12.3039627075195"
"0","0","63.5268287658691"
"25","20","179.526351928711"
"25","50","190.885757446289"
"25","100","112.489082336426"
"100","20","107.809684753418"
"100","50","101.029602050781"
"100","100","57.3937721252441"
"250","20","63.0672187805176"
"250","50","58.971565246582"
"250","100","36.6835861206055"
"500","20","63.0672187805176"
"500","50","58.971565246582"
"500","100","36.6835861206055"
"0","0","152.36735534668"
"25","20","597.987854003906"
"25","50","404.902557373047"
"25","100","218.374313354492"
"100","20","295.944427490234"
"100","50","226.742446899414"
"100","100","154.715454101562"
"250","20","140.90869140625"
"250","50","109.418128967285"
"250","100","79.7346038818359"
"500","20","140.90869140625"
"500","50","109.418128967285"
"500","100","79.7346038818359"
"0","0","82.7406692504883"
"25","20","426.775238037109"
"25","50","385.550872802734"
"25","100","245.55012512207"
"100","20","266.868072509766"
"100","50","230.362533569336"
"100","100","133.078018188477"
"250","20","117.211074829102"
"250","50","101.136444091797"
"250","100","58.4046173095703"
"500","20","77.6358032226562"
"500","50","67.9898834228516"
"500","100","41.1087799072266"
"0","0","177.061584472656"
"25","20","532.071838378906"
"25","50","404.680267333984"
"25","100","270.252105712891"
"100","20","376.920501708984"
"100","50","317.429534912109"
"100","100","211.002548217773"
"250","20","188.537994384766"
"250","50","160.512420654297"
"250","100","103.386001586914"
"500","20","160.3095703125"
"500","50","139.055557250977"
