"Drum Machine","Type","Duration","Loudness","Equal Loudness","RMS","Temporal Centroid","Spectral Centroid","Spectral Kurtosis","Pitch Salience"
"Ace Tone Rhythm-Ace","ki","0.313469387755102","90.9462890625","2.88077807426453","3.56220859292245","0.153441354632378","183.585296630859","41.3610801696777","0.958261430263519"
"Ace Tone Rhythm-Ace","ki","0.293151927437642","88.5025100708008","2.9087815284729","3.67701052004705","0.144455596804619","199.496826171875","34.1527862548828","0.958994925022125"
"Ace Tone Rhythm-Ace","ki","0.272108843537415","88.6734237670898","2.92534899711609","4.01268096637225","0.133796200156212","205.614685058594","36.8675498962402","0.964887380599976"
"Ace Tone Rhythm-Ace","ki","0.323628117913832","90.0558166503906","2.90376877784729","3.35991791005565","0.158625170588493","336.653961181641","26.8306503295898","0.954224407672882"
"Ace Tone Rhythm-Ace","ki","0.308390022675737","86.6379165649414","2.88327097892761","3.31857497680005","0.150781229138374","239.816986083984","21.2943305969238","0.95001608133316"
"Ace Tone Rhythm-Ace","ki","0.258321995464853","91.6496124267578","2.93649339675903","4.45248134279195","0.127491056919098","177.330474853516","110.18578338623","0.97003960609436"
"Ace Tone Rhythm-Ace","ki","0.243809523809524","91.5384368896484","2.9733943939209","4.69572013568395","0.120419807732105","198.062744140625","43.688102722168","0.971878349781036"
"Ace Tone Rhythm-Ace","ki","0.235827664399093","77.3178558349609","2.48618507385254","3.74589592070415","0.116696171462536","179.271377563477","119.845016479492","0.974969565868378"
"Ace Tone Rhythm-Ace","ki","0.293151927437642","89.8401565551758","2.92332220077515","3.77424805308895","0.143767207860947","181.37141418457","96.1575012207031","0.962791621685028"
"Ace Tone Rhythm-Ace","ki","0.15092970521542","76.9242324829102","4.07807970046997","5.65101292556605","0.0798477977514267","149.677429199219","170.82258605957","0.991870880126953"
"Ace Tone Rhythm-Ace","sn","0.113197278911565","32.3210830688477","6.49015188217163","1.33588282467365","0.060272466391325","4397.15673828125","2.51862859725952","0.353384733200073"
"Ace Tone Rhythm-Ace","sn","0.113197278911565","31.9535007476807","7.07129907608032","1.27586511067805","0.0600191541016102","4279.80517578125","2.32914185523987","0.387007266283035"
"Ace Tone Rhythm-Ace","sn","0.139319727891156","40.5646133422852","7.64380979537964","1.85063618652185","0.0746393129229546","4423.52587890625","2.04056859016418","0.330059736967087"
"Ace Tone Rhythm-Ace","sn","0.119727891156463","24.6705455780029","8.98963356018066","-0.674940253093553","0.0643864274024963","4440.16796875","2.63688230514526","0.37983438372612"
"Ace Tone Rhythm-Ace","sn","0.117551020408163","40.1445083618164","7.63014841079712","2.57496782509785","0.0622675828635693","4221.16552734375","1.96675980091095","0.359437376260757"
"Ace Tone Rhythm-Ace","sn","0.105215419501134","28.2164077758789","6.36914491653442","0.760318463967847","0.0550664588809013","3676.61206054688","1.70115053653717","0.497715383768082"
