Index,Drum Machine,Type,Duration,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
832,Cheetah MD-16,sn,-0.056426332,0.236544526,0.236943124,-0.028915234,0.150656757,-0.422908271,0.512076197
833,Cheetah MD-16,sn,-0.44200627,-0.268734607,0.028739354,-0.455459543,0.110839442,0.277746832,-0.054274613
834,Cheetah MD-16,sn,-0.570532915,-0.141162689,0.341741327,-0.58034007,0.061285827,0.251446348,0.040682864
835,Cheetah MD-16,sn,-0.31661442,0.32202314,0.516583733,-0.303005515,-0.001915497,-0.512453993,0.450444745
836,Cheetah MD-16,sn,0.595611285,1.458836116,0.636596342,0.583572351,0.376069917,0.072360415,-0.780792968
837,Cheetah MD-16,sn,0.206896552,1.098543691,0.655663329,0.226336374,0.072322512,-0.119702195,0.036321253
838,Cheetah MD-16,sn,-0.05015674,0.264072228,0.258488371,-0.025895547,0.150642652,-0.423688644,0.512126516
839,Cheetah MD-16,sn,-0.44200627,-0.297767491,-0.011550014,-0.454632428,0.110976093,0.270775246,-0.054299613
840,Cheetah MD-16,sn,-0.445141066,-0.021881226,0.327233206,-0.45359285,0.114089211,0.3974505,-0.007036753
841,Cheetah MD-16,sn,-0.31661442,0.477626813,0.640382304,-0.304367939,-0.001794233,-0.464563197,0.45039268
842,Cheetah MD-16,sn,0.090909091,-0.363596504,-0.54591452,0.110898052,0.208809866,0.122633462,-0.871447962
843,Cheetah MD-16,sn,0.206896552,0.17575379,0.013253943,0.220871521,-0.034341928,0.010890557,0.209594306
844,Cheetah MD-16,sn,0.335423197,0.391313325,0.12313222,0.346928633,0.299418349,0.458412091,-0.213788135
845,Deep Sky 1 Drumbox,ki,1.235872236,0.037634334,-0.45261108,1.176141672,-0.267689928,2.904495475,-0.583724596
846,Deep Sky 1 Drumbox,ki,0.253071253,0.185816955,0.000175654,0.246349927,-0.012440328,4.980017573,-0.351997666
847,Deep Sky 1 Drumbox,ki,1.57002457,-0.533754253,-1.290438503,1.496016112,-0.321808182,0.167240765,-0.025295899
848,Deep Sky 1 Drumbox,ki,0.697788698,-0.047135137,-0.373696955,0.676517211,-0.283174382,0.130558904,-0.03628066
849,Deep Sky 1 Drumbox,ki,1.515970516,0.281929272,-0.327270951,1.4322537,-0.183065455,2.50922797,-1.147621007
850,Deep Sky 1 Drumbox,ki,0.616707617,0.661288034,0.159782847,0.60852344,-0.101400254,2.807368719,-0.400961904
851,Deep Sky 1 Drumbox,ki,1.122850123,-0.125826297,-0.581092681,1.077547701,0.074693767,2.846823852,-1.410505685
852,Deep Sky 1 Drumbox,ki,0.656019656,-0.468493729,-0.908716889,0.653461483,-0.289864237,1.730549759,0.414306837
853,Deep Sky 1 Drumbox,ki,0.343980344,1.69882396,0.699669295,0.41258673,0.054428935,0.109314793,-0.40657319
854,Deep Sky 1 Drumbox,ki,0.036855037,5.093020031,1.561575964,0.073625979,-0.26132937,0.393727709,0.277359521
855,Deep Sky 1 Drumbox,ki,0.208845209,2.88511134,1.081967747,0.251829292,-0.014744311,-0.174514435,0.067414058
856,Deep Sky 1 Drumbox,ki,0.334152334,1.39134307,0.594447371,0.354340551,-0.311884108,0.983587475,0.368459839
857,Deep Sky 1 Drumbox,ki,0.199017199,1.477906311,0.686524461,0.221687945,-0.299593155,1.011322323,0.423496434
858,Deep Sky 1 Drumbox,ki,0.049140049,0.430538171,0.27267761,0.05665121,-0.377732596,1.075465863,0.558908532
859,Deep Sky 1 Drumbox,ki,0.221130221,0.230310587,0.049031106,0.238041451,-0.205718975,0.412188045,-0.037089802
860,Deep Sky 1 Drumbox,ki,0.186732187,0.837913836,0.425910412,0.260009431,0.271721832,-0.159576003,-0.613185107
861,Deep Sky 1 Drumbox,ki,0.174447174,0.356851923,0.158562717,0.246318219,0.38564368,-0.235885242,-0.342247067
862,Deep Sky 1 Drumbox,ki,0.174447174,0.666654154,0.346374388,0.180672026,-0.278619877,0.813144016,0.154418281
863,Deep Sky 1 Drumbox,ki,0.213759214,1.372196134,0.640896126,0.216489974,-0.208551133,0.720869098,-0.154839507
864,Deep Sky 1 Drumbox,ki,0.199017199,1.569575245,0.718820507,0.209612445,-0.211345396,3.417275924,-0.305970624
865,Deep Sky 1 Drumbox,ki,0.307125307,0.936643193,0.418075966,0.299962539,-0.183133725,0.760596335,-0.264419581
866,Deep Sky 1 Drumbox,ki,0.085995086,1.045313871,0.575362762,0.090985114,-0.242456172,0.720997438,0.021813091
867,Deep Sky 1 Drumbox,ki,0.15970516,0.916364434,0.476343634,0.151456768,0.41697298,0.577119952,-0.646778397
868,Deep Sky 1 Drumbox,ki,0.081081081,0.182689725,0.084227526,0.098243893,-0.324370132,0.73550311,0.389679882
869,Deep Sky 1 Drumbox,ki,0.474201474,0.923687327,0.34376241,0.461908222,-0.181787295,0.61415567,-0.48356982
