Index,Drum Machine,Type,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Centroid 1,Spectral Centroid 2,Spectral Kurtosis,Pitch Salience
743,Boss DR-660,sn,0.07802918,0.608561098,0.153103514,0.40256386,0.352864281,0.543354553,0.003028973,0.300360989
744,Boss DR-660,sn,0.085719039,0.623559044,0.157045759,0.47599223,0.369166258,0.559583608,0.003535523,0.250119258
745,Boss DR-660,sn,0.099659467,0.619293511,0.199330929,0.495907303,0.559965389,0.280273072,0.008333478,0.114767498
746,Boss DR-660,sn,0.077425225,0.574932529,0.194809687,0.556798786,0.602823045,0.416103362,0.00478248,0.123120977
747,Boss DR-660,sn,0.037297886,0.491872121,0.131616874,0.321751729,0.322833265,0.195235746,0.001861266,0.533300284
748,Boss DR-660,sn,0.053802895,0.495809167,0.212826177,0.411901826,0.431605086,0.349633097,0.003396239,0.22361996
749,Boss DR-660,sn,0.050560105,0.489195895,0.205006897,0.411593563,0.41642099,0.417020591,0.00378703,0.258038534
750,Boss DR-660,sn,0.062519865,0.543609977,0.183893748,0.550879242,0.557039255,0.477980734,0.002336727,0.058133604
751,Boss DR-660,sn,0.051597912,0.521522492,0.165248078,0.471195658,0.454570086,0.32563984,0.003029295,0.242335765
752,Boss DR-660,sn,0.082496428,0.561113671,0.23486991,0.565772523,0.601541615,0.424207715,0.005246763,0.091363069
753,Boss DR-660,sn,0.047389271,0.489130827,0.188552147,0.500213559,0.520826874,0.479753456,0.003995777,0.07347448
754,Boss DR-660,sn,0.097372225,0.765216783,0.063956881,0.529785642,0.49629302,0.48956208,0.004708341,0.222571645
755,Boss DR-660,sn,0.055746591,0.476917343,0.255877249,0.578154353,0.639515814,0.161466369,0.007656732,0.074176719
756,Boss DR-660,sn,0.065102454,0.550748509,0.184022286,0.42201767,0.366272034,0.589578742,0.003143577,0.433805397
757,Boss DR-660,sn,0.039042413,0.472796138,0.163049257,0.466515215,0.413305524,0.581172629,0.003036402,0.289249332
758,Boss DR-660,sn,0.138092692,0.779039333,0.098936559,0.574611079,0.591218734,0.502815711,0.00339558,0.317161884
