Drum Machine,Type,Duration,Loudness,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
Akai XE-8,sn,0.485442177,31.74113464,10.17875862,-5.160536329,0.238535255,1924.934937,2.123459101,0.304022133
Akai XE-8,sn,0.362086168,29.19448471,8.761855125,-4.429394365,0.182326436,1811.507324,2.18547225,0.503429949
Akai XE-8,sn,0.52244898,41.37371445,11.04968548,-3.761658843,0.255880684,1908.764771,1.890312195,0.488166034
Akai XE-8,ki,0.351927438,52.18994522,2.924264431,-0.517055136,0.173267201,1163.842529,4.161420345,0.795316756
Akai XE-8,ki,0.214058957,56.97507858,3.206754684,2.204537242,0.109611057,1331.683228,3.487584352,0.744985342
Akai XE-8,ki,0.415056689,53.22583008,3.957344055,-1.109036415,0.204474598,1368.501709,4.171837807,0.73418355
Akai XE-8,ki,0.18430839,68.48580933,2.30380559,4.063929229,0.094018839,1674.456055,7.806758404,0.702777028
Akai XE-8,sn,0.306938776,33.61535263,10.08805275,-2.778838469,0.155095875,1811.441284,2.046201229,0.598521173
Akai XE-8,sn,0.519546485,47.63563538,12.72319126,-2.823920201,0.25279215,1908.772583,1.922832131,0.488200009
Akai XE-8,sn,0.484716553,36.54789734,11.71987724,-4.240010857,0.237461001,1924.878052,2.119561911,0.303754389
Akai XE-8,sn,0.193741497,62.16859436,14.71562672,3.186054069,0.103563577,1973.364746,1.867142081,0.771487117
Akai XR-10,ki,0.214058957,64.39409637,9.926189423,3.008623136,0.10815651,2234.993164,2.03039217,0.629330516
Akai XR-10,ki,0.141496599,61.88286209,10.68947887,4.552392695,0.071721643,2931.705078,1.566623688,0.553819954
Akai XR-10,ki,0.187210884,70.6964798,6.91260004,4.168204715,0.094397329,3042.77417,0.678527594,0.775408268
Akai XR-10,ki,0.274285714,54.560009,13.26677608,0.830030825,0.136092901,3331.158691,2.467593431,0.596407235
Akai XR-10,ki,0.056598639,40.92193222,5.675293922,5.962825206,0.029355589,351.3952026,32.10187149,0.995205522
Akai XR-10,ki,0.187936508,64.03296661,14.20942974,3.509700037,0.095588252,3356.127686,2.288055897,0.538470328
Akai XR-10,ki,0.101587302,67.07782745,5.213307858,6.482541733,0.054052141,2000.94458,4.822059155,0.784184933
Akai XR-10,ki,0.240907029,76.97304535,10.30970287,3.641580301,0.120362647,2595.46167,1.002965689,0.695934653
Akai XR-10,ki,0.367165533,59.40207291,13.77031708,0.114595091,0.18025434,3354.521973,1.530319095,0.268742025
Akai XR-10,ki,0.236553288,77.0470047,10.17215061,3.709806936,0.120927989,1430.28186,21.82156563,0.847216308
Akai XR-10,sn,0.245260771,32.46364975,16.18024063,-2.049548273,0.123716317,3585.571289,2.753929138,0.265298039
Akai XR-10,sn,0.391111111,46.70048523,17.29910278,-1.719193311,0.194216594,2633.267334,1.244440079,0.282022804
Akai XR-10,sn,0.303310658,106.9312515,31.29469681,4.754830689,0.155442879,2099.102295,0.032596514,0.732481122
Akai XR-10,sn,0.460770975,50.89891052,28.38609314,-1.862540987,0.229387045,3432.884766,2.948386908,0.275387257
Akai XR-10,sn,0.549297052,55.35012054,19.23463249,-2.077188775,0.263307124,2684.87793,1.650701046,0.315440238
Akai XR-10,sn,0.384580499,29.4036293,11.04049397,-4.627686422,0.187979132,2533.11084,2.693023682,0.446691543
Akai XR-10,sn,0.104489796,22.97571564,7.811382771,-0.584726533,0.054869004,3468.401855,0.935570121,0.513827443
Akai XR-10,sn,0.325079365,61.96406937,13.61471462,0.934024024,0.160790071,1996.251709,1.07880044,0.769519627
