Index,Drum Machine,Type,Duration,Loudness,Equal Loudness,RMS,Temporal Centroid,Spectral Centroid,Spectral Kurtosis,Pitch Salience
1343,Korg KPR-77,ki,0.303310658,-0.135221594,0.013144978,0.336452756,-0.182369829,-0.294426966,-0.270371484,0.553242117
1344,Korg KPR-77,sn,0.269206349,0.185561574,0.759568642,1.10772287,-0.266256194,0.397800526,-0.368300986,0.084648651
1345,Korg KPR-77,sn,0.274285714,-0.179405059,0.866591264,1.164440479,-0.26424655,1.014137679,-0.371703046,-0.123319749
1346,Korg KPR-77,ki,0.349024943,-0.179768382,-0.831427866,-1.772733824,-0.059762129,-1.414719879,-0.184532374,1.340908823
1347,Korg KPR-77,sn,0.166893424,-0.673585094,-0.40861897,0.207280408,-0.682571958,-0.263110585,-0.350538714,0.798263674
1348,Korg KR-55 Rhythm 55,ki,0.354104308,0.267077374,-0.625812313,-0.951516106,-0.062169258,-1.260301789,0.738144366,1.00080537
1349,Korg KR-55 Rhythm 55,sn,0.203900227,-0.455096912,0.101193785,0.772422663,-0.545270684,0.434719243,-0.363934087,0.107377661
1350,Korg KR-55 Rhythm 55,ki,0.354104308,0.207288954,-0.645072433,-1.009978696,-0.062169365,-1.260292578,0.733513805,1.000783843
1351,Korg KR-55 Rhythm 55,sn,0.203900227,-0.482209394,0.049025187,0.713973231,-0.545275622,0.43468528,-0.363938023,0.107426734
1352,Korg KR-55 Rhythm 55,ki,0.329433107,-0.067539577,-0.729645395,-1.243615733,-0.143918136,-0.923708981,1.315153691,0.598566807
1353,Korg KR-55 Rhythm 55,ki,0.278639456,-0.37133366,-0.77187884,-1.279738908,-0.317480964,-0.990555921,1.398017462,0.820057755
1354,Korg KR-55 Rhythm 55,ki,0.272108844,-0.371306239,-0.771473743,-1.257862604,-0.33934424,-0.991457842,1.675992958,0.880647769
1355,Korg KR-55 Rhythm 55,ki,0.264852608,-0.370219124,-0.771372682,-1.23455969,-0.364134283,-0.992285662,1.778894177,0.883021315
1356,Korg KR-55 Rhythm 55,sn,0.153106576,-0.616051073,-0.239801646,0.57207241,-0.733581938,0.300598665,-0.352818224,0.204687969
1357,Korg KR-55 Rhythm 55,sn,0.187210884,-0.656481837,-0.320313343,0.270107897,-0.614487037,0.256994811,-0.356355146,0.274172416
1358,Korg KR-55 Rhythm 55,sn,0.187210884,-0.566565373,-0.151929837,0.531690934,-0.613438258,0.232677364,-0.356772645,0.243991064
1359,Korg KR-55 Rhythm 55,sn,0.18430839,-0.669500102,-0.342768441,0.243944217,-0.623926201,0.262829228,-0.358569675,0.252582959
1360,Korg KR-55 Rhythm 55,ki,0.360634921,-0.258919888,-0.67991073,-1.138644165,-0.018643972,-1.000005999,0.59823441,0.67367448
